Size;Time[ns];Method
99070;182700;removeAt
99069;283100;removeAt
99068;209000;removeAt
99067;163600;removeAt
99066;125200;removeAt
99065;50200;removeAt
99064;93000;removeAt
99063;261900;removeAt
99062;131000;removeAt
99061;16600;removeAt
99060;89100;removeAt
99059;271800;removeAt
99058;92700;removeAt
99057;203700;removeAt
99056;1060600;removeAt
99055;246600;removeAt
99054;62700;removeAt
99053;248700;removeAt
99052;347400;removeAt
99051;22900;removeAt
99050;182400;removeAt
99049;152500;removeAt
99048;109800;removeAt
99047;505600;removeAt
99046;35500;removeAt
99045;306800;removeAt
99044;3900;removeAt
99043;141700;removeAt
99042;388900;removeAt
99041;277700;removeAt
99040;49800;removeAt
99039;153000;removeAt
99038;98400;removeAt
99037;292000;removeAt
99036;38800;removeAt
99035;195400;removeAt
99034;155600;removeAt
99033;382100;removeAt
99032;216200;removeAt
99031;267000;removeAt
99030;200500;removeAt
99029;136300;removeAt
99028;253000;removeAt
99027;42800;removeAt
99026;247800;removeAt
99025;398800;removeAt
99024;196400;removeAt
99023;28000;removeAt
99022;427800;removeAt
99021;273100;removeAt
99020;266300;removeAt
99019;271300;removeAt
99018;169800;removeAt
99017;418700;removeAt
99016;209000;removeAt
99015;239300;removeAt
99014;359000;removeAt
99013;235000;removeAt
99012;245000;removeAt
99011;170500;removeAt
99010;194800;removeAt
99009;304000;removeAt
99008;31600;removeAt
99007;268700;removeAt
99006;424900;removeAt
99005;167000;removeAt
99004;13100;removeAt
99003;243900;removeAt
99002;107900;removeAt
99001;66300;removeAt
99000;173800;removeAt
98999;115300;removeAt
98998;169700;removeAt
98997;17500;removeAt
98996;25000;removeAt
98995;108900;removeAt
98994;13000;removeAt
98993;130500;removeAt
98992;156500;removeAt
98991;102000;removeAt
98990;133000;removeAt
98989;194000;removeAt
98988;275700;removeAt
98987;389900;removeAt
98986;23100;removeAt
98985;105500;removeAt
98984;192500;removeAt
98983;87400;removeAt
98982;61800;removeAt
98981;182100;removeAt
98980;288100;removeAt
98979;171800;removeAt
98978;293800;removeAt
98977;33700;removeAt
98976;219100;removeAt
98975;143500;removeAt
98974;33000;removeAt
98973;275900;removeAt
98972;170900;removeAt
98971;15700;removeAt
98970;76900;removeAt
98969;139800;removeAt
98968;286600;removeAt
98967;260600;removeAt
98966;69400;removeAt
98965;292600;removeAt
98964;478100;removeAt
98963;48500;removeAt
98962;102700;removeAt
98961;177800;removeAt
98960;246400;removeAt
98959;54700;removeAt
98958;182300;removeAt
98957;257600;removeAt
98956;174400;removeAt
98955;127900;removeAt
98954;255300;removeAt
98953;125200;removeAt
98952;130000;removeAt
98951;155800;removeAt
98950;75400;removeAt
98949;137800;removeAt
98948;127200;removeAt
98947;149900;removeAt
98946;321700;removeAt
98945;297000;removeAt
98944;317200;removeAt
98943;334400;removeAt
98942;252400;removeAt
98941;205400;removeAt
98940;51200;removeAt
98939;66700;removeAt
98938;459600;removeAt
98937;230500;removeAt
98936;29000;removeAt
98935;13100;removeAt
98934;99600;removeAt
98933;67500;removeAt
98932;304000;removeAt
98931;287700;removeAt
98930;292100;removeAt
98929;277800;removeAt
98928;87800;removeAt
98927;78600;removeAt
98926;165500;removeAt
98925;69100;removeAt
98924;213800;removeAt
98923;354200;removeAt
98922;209700;removeAt
98921;145900;removeAt
98920;256900;removeAt
98919;135500;removeAt
98918;301500;removeAt
98917;311100;removeAt
98916;275200;removeAt
98915;281200;removeAt
98914;155600;removeAt
98913;353700;removeAt
98912;123500;removeAt
98911;144500;removeAt
98910;330000;removeAt
98909;25700;removeAt
98908;31500;removeAt
98907;107000;removeAt
98906;282800;removeAt
98905;197900;removeAt
98904;51300;removeAt
98903;199400;removeAt
98902;294400;removeAt
98901;312600;removeAt
98900;42200;removeAt
98899;54400;removeAt
98898;207300;removeAt
98897;161900;removeAt
98896;213300;removeAt
98895;202600;removeAt
98894;326000;removeAt
98893;130000;removeAt
98892;188100;removeAt
98891;11700;removeAt
98890;59900;removeAt
98889;97300;removeAt
98888;298600;removeAt
98887;270200;removeAt
98886;177500;removeAt
98885;64100;removeAt
98884;56600;removeAt
98883;229900;removeAt
98882;192500;removeAt
98881;19400;removeAt
98880;217800;removeAt
98879;266000;removeAt
98878;30900;removeAt
98877;325000;removeAt
98876;346900;removeAt
98875;19800;removeAt
98874;326000;removeAt
98873;393100;removeAt
98872;172500;removeAt
98871;132700;removeAt
98870;179200;removeAt
98869;129600;removeAt
98868;113500;removeAt
98867;138300;removeAt
98866;429400;removeAt
98865;99100;removeAt
98864;463200;removeAt
98863;395700;removeAt
98862;126800;removeAt
98861;107800;removeAt
98860;54300;removeAt
98859;182400;removeAt
98858;203100;removeAt
98857;79400;removeAt
98856;198200;removeAt
98855;399700;removeAt
98854;492000;removeAt
98853;284700;removeAt
98852;319300;removeAt
98851;177000;removeAt
98850;316500;removeAt
98849;309900;removeAt
98848;273100;removeAt
98847;280400;removeAt
98846;184800;removeAt
98845;172400;removeAt
98844;302000;removeAt
98843;182200;removeAt
98842;185900;removeAt
98841;189900;removeAt
98840;18100;removeAt
98839;335000;removeAt
98838;199200;removeAt
98837;159200;removeAt
98836;51200;removeAt
98835;114600;removeAt
98834;311500;removeAt
98833;21300;removeAt
98832;217600;removeAt
98831;8400;removeAt
98830;293400;removeAt
98829;139600;removeAt
98828;276700;removeAt
98827;226300;removeAt
98826;8200;removeAt
98825;15100;removeAt
98824;204200;removeAt
98823;94400;removeAt
98822;202200;removeAt
98821;314000;removeAt
98820;37400;removeAt
98819;120700;removeAt
98818;240300;removeAt
98817;3200;removeAt
98816;218000;removeAt
98815;272900;removeAt
98814;90800;removeAt
98813;152400;removeAt
98812;168000;removeAt
98811;145600;removeAt
98810;157600;removeAt
98809;139200;removeAt
98808;89300;removeAt
98807;10800;removeAt
98806;350000;removeAt
98805;202300;removeAt
98804;276700;removeAt
98803;73900;removeAt
98802;238400;removeAt
98801;294000;removeAt
98800;309000;removeAt
98799;252300;removeAt
98798;83400;removeAt
98797;249200;removeAt
98796;136400;removeAt
98795;177900;removeAt
98794;294200;removeAt
98793;19900;removeAt
98792;31100;removeAt
98791;90300;removeAt
98790;75000;removeAt
98789;39400;removeAt
98788;69000;removeAt
98787;242500;removeAt
98786;188600;removeAt
98785;108900;removeAt
98784;257700;removeAt
98783;251200;removeAt
98782;259200;removeAt
98781;8100;removeAt
98780;334300;removeAt
98779;290700;removeAt
98778;215000;removeAt
98777;12300;removeAt
98776;23100;removeAt
98775;96200;removeAt
98774;153000;removeAt
98773;123900;removeAt
98772;31900;removeAt
98771;274100;removeAt
98770;123500;removeAt
98769;218700;removeAt
98768;95100;removeAt
98767;28100;removeAt
98766;10100;removeAt
98765;247800;removeAt
98764;102400;removeAt
98763;146400;removeAt
98762;186400;removeAt
98761;18200;removeAt
98760;26000;removeAt
98759;220700;removeAt
98758;65800;removeAt
98757;170200;removeAt
98756;74100;removeAt
98755;208200;removeAt
98754;238900;removeAt
98753;24600;removeAt
98752;49700;removeAt
98751;128500;removeAt
98750;309500;removeAt
98749;348200;removeAt
98748;258200;removeAt
98747;155800;removeAt
98746;281800;removeAt
98745;161300;removeAt
98744;306900;removeAt
98743;205300;removeAt
98742;130700;removeAt
98741;144700;removeAt
98740;75900;removeAt
98739;134900;removeAt
98738;92000;removeAt
98737;64700;removeAt
98736;269600;removeAt
98735;206200;removeAt
98734;149700;removeAt
