Size;Time[ns];Method
1450;4300;at
1451;1900;at
1452;4900;at
1453;5100;at
1454;1100;at
1455;2000;at
1456;2000;at
1457;5700;at
1458;2700;at
1459;800;at
1460;4200;at
1461;2800;at
1462;5400;at
1463;4500;at
1464;4400;at
1465;7200;at
1466;1900;at
1467;1900;at
1468;1900;at
1469;1000;at
1470;2400;at
1471;7200;at
1472;6700;at
1473;3200;at
1474;2200;at
1475;2800;at
1476;7300;at
1477;4000;at
1478;4800;at
1479;700;at
1480;3500;at
1481;5900;at
1482;2400;at
1483;5100;at
1484;5000;at
1485;7400;at
1486;3300;at
1487;6000;at
1488;700;at
1489;7600;at
1490;5300;at
1491;6100;at
1492;4700;at
1493;2600;at
1494;6800;at
1495;5200;at
1496;5500;at
1497;4200;at
1498;4400;at
1499;4000;at
1500;2100;at
1501;1100;at
1502;5100;at
1503;3800;at
1504;4000;at
1505;2800;at
1506;3900;at
1507;1600;at
1508;3800;at
1509;1000;at
1510;8200;at
1511;5900;at
1512;1000;at
1513;3200;at
1514;4700;at
1515;2900;at
1516;8100;at
1517;5900;at
1518;6900;at
1519;4200;at
1520;4900;at
1521;3200;at
1522;5400;at
1523;4700;at
1524;4300;at
1525;5300;at
1526;3800;at
1527;7000;at
1528;3100;at
1529;800;at
1530;3300;at
1531;7000;at
1532;1100;at
1533;3100;at
1534;3000;at
1535;7100;at
1536;2600;at
1537;3800;at
1538;5400;at
1539;4200;at
1540;6500;at
1541;5800;at
1542;1300;at
1543;8500;at
1544;700;at
1545;5200;at
1546;5100;at
1547;3000;at
1548;8400;at
1549;3600;at
1550;900;at
1551;1100;at
1552;7900;at
1553;3800;at
1554;7400;at
1555;5700;at
1556;3300;at
1557;2300;at
1558;4400;at
1559;4900;at
1560;7900;at
1561;4500;at
1562;7600;at
1563;4000;at
1564;900;at
1565;3300;at
1566;5200;at
1567;3000;at
1568;1600;at
1569;6300;at
1570;2400;at
1571;8000;at
1572;3400;at
1573;6400;at
1574;2300;at
1575;6400;at
1576;4700;at
1577;7200;at
1578;5200;at
1579;4600;at
1580;6400;at
1581;400;at
1582;1000;at
1583;9400;at
1584;5800;at
1585;6400;at
1586;2700;at
1587;6900;at
1588;1400;at
1589;6500;at
1590;6900;at
1591;900;at
1592;2000;at
1593;2900;at
1594;900;at
1595;2100;at
1596;6200;at
1597;1100;at
1598;4600;at
1599;6900;at
1600;5500;at
1601;3500;at
1602;2100;at
1603;3900;at
1604;1500;at
1605;7000;at
1606;2500;at
1607;5300;at
1608;8600;at
1609;6000;at
1610;2400;at
1611;4900;at
1612;3800;at
1613;2000;at
1614;6200;at
1615;2300;at
1616;5500;at
1617;2900;at
1618;500;at
1619;500;at
1620;2800;at
1621;1400;at
1622;13600;at
1623;9400;at
1624;3800;at
1625;6300;at
1626;2800;at
1627;1600;at
1628;5200;at
1629;900;at
1630;2400;at
1631;1200;at
1632;9100;at
1633;5500;at
1634;4600;at
1635;1100;at
1636;10000;at
1637;9100;at
1638;7200;at
1639;11300;at
1640;7700;at
1641;25500;at
1642;5000;at
1643;2300;at
1644;8700;at
1645;6300;at
1646;6300;at
1647;400;at
1648;1900;at
1649;7900;at
1650;4600;at
1651;6200;at
1652;3900;at
1653;5600;at
1654;7500;at
1655;900;at
1656;2100;at
1657;2800;at
1658;4400;at
1659;4300;at
1660;1900;at
1661;7000;at
1662;3900;at
1663;4200;at
1664;3200;at
1665;700;at
1666;900;at
1667;7600;at
1668;1800;at
1669;3500;at
1670;3000;at
1671;1000;at
1672;3200;at
1673;9800;at
1674;4800;at
1675;10200;at
1676;5100;at
1677;6700;at
1678;4600;at
1679;5600;at
1680;6800;at
1681;7900;at
1682;1900;at
1683;5700;at
1684;8400;at
1685;6200;at
1686;8000;at
1687;2500;at
1688;4300;at
1689;2400;at
1690;1600;at
1691;5000;at
1692;1900;at
1693;6900;at
1694;4400;at
1695;7900;at
1696;5800;at
1697;700;at
1698;2600;at
1699;7600;at
1700;2500;at
1701;4800;at
1702;3700;at
1703;4000;at
1704;600;at
1705;6900;at
1706;3600;at
1707;3700;at
1708;2500;at
1709;4400;at
1710;4700;at
1711;11800;at
1712;2700;at
1713;9800;at
1714;2900;at
1715;8700;at
1716;9600;at
1717;7300;at
1718;7700;at
1719;5000;at
1720;1400;at
1721;12000;at
1722;10200;at
1723;7400;at
1724;1300;at
1725;6600;at
1726;3600;at
1727;400;at
1728;4700;at
1729;2000;at
1730;7300;at
1731;3100;at
1732;3600;at
1733;4400;at
1734;3200;at
1735;7100;at
1736;6500;at
1737;1600;at
1738;7600;at
1739;8100;at
1740;4800;at
1741;1900;at
1742;13400;at
1743;12600;at
1744;900;at
1745;7100;at
1746;2800;at
1747;2500;at
1748;16000;at
1749;12600;at
1750;5600;at
1751;6200;at
1752;12800;at
1753;4000;at
1754;5000;at
1755;7200;at
1756;12200;at
1757;800;at
1758;900;at
1759;3200;at
1760;3100;at
1761;6000;at
1762;4700;at
1763;5100;at
1764;1900;at
1765;5400;at
1766;500;at
1767;13300;at
1768;400;at
1769;7300;at
1770;6600;at
1771;7300;at
1772;8600;at
1773;9200;at
1774;9400;at
1775;3000;at
1776;8600;at
1777;8300;at
1778;3100;at
1779;2800;at
1780;3900;at
1781;1700;at
1782;7000;at
1783;8900;at
1784;6900;at
1785;1900;at
1786;3400;at
1787;7800;at
1788;6800;at
1789;7600;at
1790;3900;at
1791;5900;at
1792;4600;at
1793;8600;at
1794;6400;at
1795;3300;at
1796;8500;at
1797;8700;at
1798;6600;at
1799;2900;at
1800;7200;at
1801;9300;at
1802;6000;at
1803;7900;at
1804;4700;at
1805;6300;at
1806;7900;at
1807;6100;at
1808;1100;at
1809;8700;at
1810;4600;at
1811;5400;at
1812;8000;at
1813;2700;at
1814;6000;at
1815;2200;at
1816;5100;at
1817;7100;at
1818;6200;at
1819;5600;at
1820;2100;at
1821;6100;at
1822;6500;at
1823;400;at
1824;6600;at
1825;2800;at
1826;900;at
1827;3700;at
1828;8200;at
1829;6200;at
1830;600;at
1831;8000;at
1832;3800;at
1833;11300;at
1834;7300;at
1835;4000;at
1836;5300;at
1837;6400;at
1838;6200;at
1839;400;at
1840;300;at
1841;2400;at
1842;4900;at
1843;7500;at
1844;5600;at
1845;3100;at
1846;3300;at
1847;8200;at
1848;1700;at
1849;6200;at
1850;9000;at
1851;7300;at
1852;7300;at
1853;6200;at
1854;5200;at
1855;3800;at
1856;1800;at
1857;5800;at
1858;4300;at
1859;7900;at
1860;3100;at
1861;3100;at
1862;7400;at
1863;2800;at
1864;1700;at
1865;9000;at
1866;4200;at
1867;6700;at
1868;8300;at
1869;700;at
1870;5300;at
1871;6000;at
1872;3600;at
1873;900;at
1874;2900;at
1875;5900;at
1876;3400;at
1877;8700;at
1878;8400;at
1879;5200;at
1880;900;at
1881;500;at
1882;9300;at
1883;5600;at
1884;3300;at
1885;1700;at
1886;3000;at
1887;9600;at
1888;8800;at
1889;9100;at
1890;3400;at
1891;7600;at
1892;7500;at
1893;900;at
1894;3400;at
1895;2600;at
1896;5600;at
1897;2100;at
1898;9300;at
1899;6100;at
1900;3100;at
1901;2900;at
1902;400;at
1903;5400;at
1904;600;at
1905;8400;at
1906;7000;at
1907;6700;at
1908;6700;at
1909;900;at
1910;8300;at
1911;3700;at
1912;4400;at
1913;7400;at
1914;7100;at
1915;5400;at
1916;6900;at
1917;4100;at
1918;3800;at
1919;5100;at
1920;2700;at
1921;6200;at
1922;7200;at
1923;7600;at
